"Banque","Type","Adresse","Longitude","Latitude"
"Crédit Mutuel","Coopérative","32 AVENUE DU GENERAL DE GAULLE ,  01500 ,  AMBERIEU EN BUGEY",5.357069,45.96356
"Crédit Mutuel","Coopérative","11 PLACE VAUGELAS ,  01800 ,  MEXIMIEUX",5.192043,45.90318
"Crédit Mutuel","Coopérative","1103 RUE DE GENEVE ,  01120 ,  DAGNEUX",5.076059,45.8509
"Crédit Mutuel","Coopérative","434 AVENUE CHARLES DE GAULLE ,  01330 ,  VILLARS LES DOMBES",5.031419,46.00272
"Crédit Mutuel","Coopérative","8 RUE GRAMMONT ,  38230 ,  PONT DE CHERUY",5.169088,45.750331
"Crédit Mutuel","Coopérative","1 AVENUE ALPHONSE BAUDIN ,  01000 ,  BOURG EN BRESSE",5.218615,46.200558
"Crédit Mutuel","Coopérative","1 RUE CHARLES ROBIN ,  01000 ,  BOURG EN BRESSE",5.229113,46.205627
"Crédit Mutuel","Coopérative","4 COURS DE VERDUN ,  01000 ,  BOURG EN BRESSE",5.22502,46.206088
"Crédit Mutuel","Coopérative","22 BOULEVARD DU MAIL ,  01300 ,  BELLEY",5.68868,45.760349
"Crédit Mutuel","Coopérative","66 B RUE DE LA REPUBLIQUE ,  69330 ,  MEYZIEU",5.002802,45.766564
"Crédit Mutuel","Coopérative","918 GRANDE RUE ,  01700 ,  MIRIBEL",4.952038,45.823666
"Crédit Mutuel","Coopérative","112 AVENUE JEAN JAURES ,  69150 ,  DECINES CHARPIEU",4.946744,45.76925
"Crédit Mutuel","Coopérative","3006 ROUTE DE STRASBOURG ,  69140 ,  RILLIEUX LA PAPE",4.897518,45.820804
"Crédit Mutuel","Coopérative","5 AVENUE DU PROGRES ,  69680 ,  CHASSIEU",4.968922,45.737716
"Crédit Mutuel","Coopérative","1 MONTEE DU CHATEAU ,  69720 ,  ST BONNET DE MURE",5.029578,45.692789
"Crédit Mutuel","Coopérative","20 RUE EMILE ZOLA ,  69120 ,  VAULX EN VELIN",4.918625,45.7778
"Crédit Mutuel","Coopérative","395 AVENUE LESDIGUIERES ,  38290 ,  LA VERPILLIERE",5.144547,45.635456
"Crédit Mutuel","Coopérative","40 RUE DES SAYES ,  38080 ,  L ISLE D ABEAU",5.22713,45.613584
"Crédit Mutuel","Coopérative","1 RUE DE LA REPUBLIQUE ,  01200 ,  VALSERHONE",5.829025,46.108293
"Crédit Mutuel","Coopérative","5 RUE BICHAT ,  01100 ,  OYONNAX",5.655619,46.25858
"Crédit Mutuel","Coopérative","3 RUE DU CRET DU BIEF ,  39170 ,  LAVANS LES ST CLAUDE",5.776561,46.382157
"Crédit Mutuel","Coopérative","70 RUE DU PRE ,  39201 ,  ST CLAUDE",3.184979,50.739157
"Crédit Mutuel","Coopérative","23 RUE DE GENEVE ,  01630 ,  ST GENIS POUILLY",6.02465,46.242202
"Crédit Mutuel","Coopérative","RUE DES TERREAUX ,  01170 ,  GEX",6.058042,46.332805
"Crédit Mutuel","Coopérative","17 GRAND RUE ,  01210 ,  FERNEY VOLTAIRE",6.109895,46.256403
"Crédit Mutuel","Coopérative","2 RUE MONSEIGNEUR PAGET ,  74160 ,  ST JULIEN EN GENEVOIS",6.079837,46.143775
"Crédit Mutuel","Coopérative","970 ROUTE BLANCHE ,  39220 ,  LES ROUSSES",6.062803,46.48084
"Crédit Mutuel","Coopérative","203 AVENUE DE GENEVE ,  01220 ,  DIVONNE LES BAINS",6.1425,46.351661
"Crédit Mutuel","Coopérative","17 PLACE CENTRALE ,  74270 ,  FRANGY",5.928716,46.018979
"Crédit Mutuel","Coopérative","102 RUE DE GENEVE ,  74240 ,  GAILLARD",6.214073,46.191423
"Crédit Mutuel","Coopérative","11 BOULEVARD GAMBETTA ,  39000 ,  LONS LE SAUNIER",5.5511,46.668944
"Crédit Mutuel","Coopérative","75 COURS SULLY ,  39000 ,  LONS LE SAUNIER",5.545485,46.673916
"Crédit Mutuel","Coopérative","260 GRAND RUE ,  74350 ,  CRUSEILLES",6.107871,46.034107
"Crédit Mutuel","Coopérative","2 RUE DES VOIRONS ,  74100 ,  ANNEMASSE",6.234124,46.194728
"Crédit Mutuel","Coopérative","8 RUE CHARLES DUPRAZ ,  74100 ,  ANNEMASSE",6.235179,46.191428
"Crédit Mutuel","Coopérative","45 AVENUE DU GRAND PORT ,  73100 ,  AIX LES BAINS",5.907798,45.696427
"Crédit Mutuel","Coopérative","1 PLACE DU REVARD ,  73100 ,  AIX LES BAINS",5.914063,45.688286
"Crédit Mutuel","Coopérative","45 RUE HENRI SECRET ,  74540 ,  ST FELIX",5.969594,45.799211
"Crédit Mutuel","Coopérative","38 AVENUE GANTIN ,  74150 ,  RUMILLY",5.94756,45.861392
"Crédit Mutuel","Coopérative","241 AVENUE COSTA DE BEAUREGARD ,  73290 ,  LA MOTTE SERVOLEX",5.878963,45.594852
"Crédit Mutuel","Coopérative","AVENUE JEAN JAURES ,  73330 ,  LE PONT DE BEAUVOISIN",5.677104,45.535228
"Crédit Mutuel","Coopérative","124 ALLEE ALBERT SYLVESTRE ,  73000 ,  CHAMBERY",5.909818,45.582252
"Crédit Mutuel","Coopérative","16 RUE FRANCOIS GUISE ,  73000 ,  CHAMBERY",5.909043,45.578214
"Crédit Mutuel","Coopérative","10 PLACE DE GENEVE ,  73000 ,  CHAMBERY",5.918822,45.567359
"Crédit Mutuel","Coopérative","59 BOULEVARD GAMBETTA ,  38110 ,  LA TOUR DU PIN",5.448205,45.566285
"Crédit Mutuel","Coopérative","331 AVENUE DE TURIN ,  73000 ,  CHAMBERY",5.934201,45.569838
"Crédit Mutuel","Coopérative","13 AVENUE DE TURIN ,  73000 ,  BASSENS",5.947874,45.573207
"Crédit Mutuel","Coopérative","47 AVENUE DE CHAMP FLEURI ,  74600 ,  ANNECY",6.100056,45.887655
"Crédit Mutuel","Coopérative","AVENUE DENIS THERME ,  73630 ,  LE CHATELARD",6.134332,45.687846
"Crédit Mutuel","Coopérative","10 ROUTE DE FRANGY ,  74960 ,  ANNECY",6.09474,45.913113
"Crédit Mutuel","Coopérative","111 AVENUE ROGER SALENGRO ,  69100 ,  VILLEURBANNE",4.878953,45.778228
"Crédit Mutuel","Coopérative","1 AVENUE ARISTIDE BRIAND ,  69100 ,  VILLEURBANNE",4.879196,45.766914
"Crédit Mutuel","Coopérative","33 PLACE JULES GRANDCLEMENT ,  69100 ,  VILLEURBANNE",4.887274,45.758927
"Crédit Mutuel","Coopérative","5 MONTEE CASTELLANE ,  69300 ,  CALUIRE ET CUIRE",4.846304,45.799231
"Crédit Mutuel","Coopérative","18 COURS EMILE ZOLA ,  69100 ,  VILLEURBANNE",4.888325,45.767718
"Crédit Mutuel","Coopérative","12 QUAI PASTEUR ,  69250 ,  NEUVILLE SUR SAONE",4.838709,45.875552
"Crédit Mutuel","Coopérative","3 COURS EMILE ZOLA ,  69100 ,  VILLEURBANNE",4.862598,45.770618
"Crédit Mutuel","Coopérative","70 COURS DOCTEUR LONG ,  69003 ,  LYON",4.885936,45.749912
"Crédit Mutuel","Coopérative","140 AVENUE FRANKLIN ROOSEVELT ,  69500 ,  BRON",4.908008,45.733638
"Crédit Mutuel","Coopérative","36 COURS VITTON ,  69006 ,  LYON",4.853695,45.769501
"Crédit Mutuel","Coopérative","31 RUE GARIBALDI ,  69006 ,  LYON",4.850364,45.771201
"Crédit Mutuel","Coopérative","34 AVENUE LACASSAGNE ,  69003 ,  LYON",4.866864,45.754252
"Crédit Mutuel","Coopérative","154 COURS LAFAYETTE ,  69003 ,  LYON",4.855417,45.763575
"Crédit Mutuel","Coopérative","1313 AVENUE CHARLES DE GAULLE ,  71000 ,  MACON",4.837248,46.317056
"Crédit Mutuel","Coopérative","75 GRANDE RUE DE LA COUPEE ,  71850 ,  CHARNAY LES MACON",4.809787,46.30847
"Crédit Mutuel","Coopérative","16 RUE DE LA REPUBLIQUE ,  69220 ,  BELLEVILLE",4.750593,46.108736
"Crédit Mutuel","Coopérative","23 RUE DU PALAIS ,  01600 ,  TREVOUX",4.778495,45.940316
"Crédit Mutuel","Coopérative","58 BOULEVARD GENERAL LECLERC ,  69654 ,  VILLEFRANCHE SAONE",4.715748,45.995679
"Crédit Mutuel","Coopérative","1 RUE D ALSACE ,  71500 ,  LOUHANS",5.226167,46.629999
"Crédit Mutuel","Coopérative","58 AVENUE DU PRE AUX MOUTONS ,  69480 ,  ANSE",4.719653,45.938224
"Crédit Mutuel","Coopérative","2 RUE DU VALLON D OR ,  69370 ,  ST DIDIER AU MONT D OR",4.794781,45.810351
"Crédit Mutuel","Coopérative","6 C AVENUE DE L HIPPODROME ,  69890 ,  LA TOUR DE SALVAGNY",4.718487,45.811
"Crédit Mutuel","Coopérative","5 PLACE PIERRE MARIE DURAND ,  69210 ,  L ARBRESLE",4.615348,45.835647
"Crédit Mutuel","Coopérative","46 AVENUE LANESSAN ,  69410 ,  CHAMPAGNE AU MONT D OR",4.792467,45.795256
"Crédit Mutuel","Coopérative","50 QUAI PAUL SEDALLIAN ,  69009 ,  LYON",4.815237,45.788479
"Crédit Mutuel","Coopérative","8 RUE RHIN ET DANUBE ,  69337 ,  LYON",4.80994,45.783046
"Crédit Mutuel","Coopérative","2 RUE DU 24 MARS 1852 ,  69009 ,  LYON",4.806431,45.7815
"Crédit Mutuel","Coopérative","PLACE JOANNES AMBRE ,  69004 ,  LYON",4.832853,45.781359
"Crédit Mutuel","Coopérative","SQUARE DE VERDUN ,  69260 ,  CHARBONNIERES LES BAINS",4.736102,45.782366
"Crédit Mutuel","Coopérative","90 RUE DU CENTRE ,  74140 ,  DOUVAINE",6.306102,46.306876
"Crédit Mutuel","Coopérative","16 AVENUE DES CHARMES ,  74140 ,  SCIEZ",6.374631,46.331469
"Crédit Mutuel","Coopérative","54 AVENUE DU LEMAN ,  74890 ,  BONS EN CHABLAIS",6.371383,46.265034
"Crédit Mutuel","Coopérative","1075 ROUTE DES TATTES DE BORLY ,  74380 ,  CRANVES SALES",6.279975,46.183619
"Crédit Mutuel","Coopérative","30 AVENUE DE GENEVE ,  74200 ,  THONON LES BAINS",6.457149,46.360794
"Crédit Mutuel","Coopérative","12 AVENUE DU GENERAL DE GAULLE ,  74200 ,  THONON LES BAINS",6.476279,46.369537
"Crédit Mutuel","Coopérative","217 RUE DE LA VALLEE VERTE ,  74420 ,  BOEGE",6.403217,46.207372
"Crédit Mutuel","Coopérative","24 RUE DU DOCTEUR GOY ,  74930 ,  REIGNIER ESERY",6.270095,46.136594
"Crédit Mutuel","Coopérative","163 RUE DE LA DRANSE ,  74360 ,  ABONDANCE",6.718422,46.280195
"Crédit Mutuel","Coopérative","16 ALLEE DE LA THYOLLIRE ,  74250 ,  VIUZ EN SALLAZ",6.400464,46.143251
"Crédit Mutuel","Coopérative","157 RUE CARNOT ,  74800 ,  LA ROCHE SUR FORON",6.31134,46.066258
"Crédit Mutuel","Coopérative","18 RUE DUQUESNE ,  69006 ,  LYON",4.844433,45.772484
"Crédit Mutuel","Coopérative","5 RUE MEZELLE ,  69170 ,  TARARE",4.433145,45.896654
"Crédit Mutuel","Coopérative","30 ROUTE DE DOLE ,  71380 ,  ST MARCEL",4.896373,46.776646
"Crédit Mutuel","Coopérative","2 AVENUE GEORGES POMPIDOU ,  71100 ,  CHALON SUR SAONE",4.846009,46.779483
"Crédit Mutuel","Coopérative","6 B RUE OLIVIER MESSIAEN ,  71100 ,  CHALON SUR SAONE",4.84619,46.779369
"Crédit Mutuel","Coopérative","21 BOULEVARD DE LA REPUBLIQUE ,  71100 ,  CHALON SUR SAONE",4.849552,46.783449
"Crédit Mutuel","Coopérative","24 BOULEVARD DE LA REPUBLIQUE ,  71100 ,  CHALON SUR SAONE",4.849671,46.783724
"Crédit Mutuel","Coopérative","22 PLACE DE BEAUNE ,  71100 ,  CHALON SUR SAONE",4.855215,46.784434
"Crédit Mutuel","Coopérative","4 RUE BENOIT TABARD ,  69130 ,  ECULLY",4.777361,45.773696
"Crédit Mutuel","Coopérative","226 ROUTE D ANNECY ,  74370 ,  ANNECY",6.16421,45.975762
"Crédit Mutuel","Coopérative","2 RUE LUCIE AUBRAC ,  74000 ,  ANNECY",6.123198,45.919393
"Crédit Mutuel","Coopérative","17 AVENUE DE LA REPUBLIQUE ,  74960 ,  ANNECY",6.107309,45.907398
"Crédit Mutuel","Coopérative","99 AVENUE DE GENEVE ,  74054 ,  ANNECY",6.123725,45.918313
"Crédit Mutuel","Coopérative","5 AVENUE BERTHOLLET ,  74000 ,  ANNECY",6.1218,45.90355
"Crédit Mutuel","Coopérative","63 RUE CARNOT ,  02400 ,  CHATEAU THIERRY",3.404232,49.041206
"Crédit Mutuel","Coopérative","2 PLACE DU DOCTEUR MOUFLIER ,  02600 ,  VILLERS COTTERETS",3.090588,49.254556
"Crédit Mutuel","Coopérative","15 COURS GAMBETTA ,  77120 ,  COULOMMIERS",3.085025,48.814898
"Crédit Mutuel","Coopérative","2 RUE CHARPENTIER ,  02200 ,  SOISSONS",3.328681,49.379025
"Crédit Mutuel","Coopérative","2 RUE DE CHAAGE ,  77100 ,  MEAUX",2.87907,48.962287
"Crédit Mutuel","Coopérative","5 RUE JEAN PIERROT ,  51200 ,  EPERNAY",3.955003,49.042934
"Crédit Mutuel","Coopérative","64 RUE NATIONALE ,  60800 ,  CREPY EN VALOIS",2.887926,49.236582
"Crédit Mutuel","Coopérative","6 RUE HENRI MOISSAN ,  51430 ,  BEZANNES",3.996377,49.217873
"Crédit Mutuel","Coopérative","58 PLACE DE L EGLISE ,  60330 ,  LE PLESSIS BELLEVILLE",2.756328,49.094972
"Crédit Mutuel","Coopérative","36 RUE DE MAGNY ,  77700 ,  BAILLY ROMAINVILLIERS",2.819827,48.84962
"Crédit Mutuel","Coopérative","2 T RUE DES ANEMONES ,  51430 ,  TINQUEUX",3.992308,49.249955
"Crédit Mutuel","Coopérative","14 COURS DU DANUBE ,  77700 ,  SERRIS",2.778259,48.856748
"Crédit Mutuel","Coopérative","14 RUE EDOUARD MIGNOT ,  51064 ,  REIMS",4.021412,49.259857
"Crédit Mutuel","Coopérative","21 RUE CONDORCET ,  51100 ,  REIMS",4.028017,49.254167
"Crédit Mutuel","Coopérative","23 ESPLANADE FLECHAMBAULT ,  51100 ,  REIMS",4.038786,49.242272
"Crédit Mutuel","Coopérative","79 AVENUE DE LAON ,  51100 ,  REIMS",4.025614,49.265934
"Crédit Mutuel","Coopérative","10 PLACE DE L HOTEL DE VILLE ,  02300 ,  CHAUNY",3.218588,49.61555
"Crédit Mutuel","Coopérative","25 PLACE BERTRAND LABARRE ,  60400 ,  NOYON",2.999928,49.580726
"Crédit Mutuel","Coopérative","1 RUE NOTRE DAME ,  80400 ,  HAM",3.071951,49.748521
"Crédit Mutuel","Coopérative","2 RUE ANATOLE DE LA FORGE ,  02100 ,  ST QUENTIN",3.290043,49.844403
"Crédit Mutuel","Coopérative","28 RUE D ISLE ,  02100 ,  ST QUENTIN",3.29064,49.844757
"Crédit Mutuel","Coopérative","3 PLACE CROMMELIN ,  02100 ,  ST QUENTIN",3.286633,49.852721
"Crédit Mutuel","Coopérative","5 PLACE VICTOR HUGO ,  02000 ,  LAON",3.63347,49.57053
"Crédit Mutuel","Coopérative","18 RUE D AMIENS ,  80700 ,  ROYE",2.787882,49.698722
"Crédit Mutuel","Coopérative","16 RUE D AMIENS ,  60200 ,  COMPIEGNE",2.821586,49.42229
"Crédit Mutuel","Coopérative","4 PLACE SAINT JACQUES ,  60200 ,  COMPIEGNE",2.826767,49.417107
"Crédit Mutuel","Coopérative","6 PLACE DE L ANCIEN HOPITAL ,  60200 ,  COMPIEGNE",2.821827,49.412714
"Crédit Mutuel","Coopérative","18 PLACE DU CDT LOUIS DAUDRE ,  80200 ,  PERONNE",2.934648,49.929489
"Crédit Mutuel","Coopérative","34 RUE LOUIS PIERRE DUGROSPREZ ,  60610 ,  LACROIX ST OUEN",2.785599,49.380779
"Crédit Mutuel","Coopérative","50 PLACE D ARMES ,  02120 ,  GUISE",3.627511,49.900153
"Crédit Mutuel","Coopérative","581 AVENUE DU GENERAL DE GAULLE ,  59231 ,  GOUZEAUCOURT",3.125022,50.055565
"Crédit Mutuel","Coopérative","10 RUE HENRI BODCHON ,  60700 ,  PONT STE MAXENCE",2.606178,49.301125
"Crédit Mutuel","Coopérative","10 PLACE SADI CARNOT ,  59360 ,  LE CATEAU CAMBRESIS",3.543396,50.104711
"Crédit Mutuel","Coopérative","15 PLACE ANDRE BONNAIRE ,  59550 ,  LANDRECIES",3.6909,50.124937
"Crédit Mutuel","Coopérative","12 PLACE EUGENE FIEVET ,  59540 ,  CAUDRY",3.407865,50.123253
"Crédit Mutuel","Coopérative","10 RUE CHARLES DE GAULLE ,  02500 ,  HIRSON",4.081209,49.92367
"Crédit Mutuel","Coopérative","28 RUE JEAN JAURES ,  59610 ,  FOURMIES",4.049141,50.015759
"Crédit Mutuel","Coopérative","12 RUE SAINT BARTHELEMY ,  59440 ,  AVESNES SUR HELPE",3.929888,50.123256
"Crédit Mutuel","Coopérative","5 RUE EMILE DUEE ,  59730 ,  SOLESMES",3.498712,50.184709
"Crédit Mutuel","Coopérative","16 AVENUE DE LA GARE ,  59440 ,  AVESNES SUR HELPE",3.933071,50.126255
"Crédit Mutuel","Coopérative","27 RUE JEAN JAURES ,  59620 ,  AULNOYE AYMERIES",3.841261,50.19933
"Crédit Mutuel","Coopérative","13 RUE CAMELINAT ,  59129 ,  AVESNES LES AUBERT",3.379819,50.197324
"Crédit Mutuel","Coopérative","18 RUE JEAN JAURES ,  59530 ,  LE QUESNOY",3.637974,50.248247
"Crédit Mutuel","Coopérative","24 RUE DU GENERAL DE GAULLE ,  59400 ,  CAMBRAI",3.2379,50.175248
"Crédit Mutuel","Coopérative","58 AVENUE DE LA VICTOIRE ,  59400 ,  CAMBRAI",3.232048,50.171926
"Crédit Mutuel","Coopérative","16 GRAND PLACE ,  59740 ,  SOLRE LE CHATEAU",4.091684,50.174398
"Crédit Mutuel","Coopérative","36 PLACE DE GAULLE ,  59330 ,  HAUTMONT",3.920297,50.250537
"Crédit Mutuel","Coopérative","46 RUE GAMBETTA ,  08500 ,  REVIN",4.63959,49.94165
"Crédit Mutuel","Coopérative","1 PLACE DES NATIONS ,  59600 ,  MAUBEUGE",3.973657,50.278653
"Crédit Mutuel","Coopérative","68 RUE HECTOR DESPRET ,  59460 ,  JEUMONT",4.101023,50.296707
"Crédit Mutuel","Coopérative","20 PLACE DU 11 NOVEMBRE ,  59570 ,  BAVAY",3.792882,50.299763
"Crédit Mutuel","Coopérative","1 RUE NOEL ,  08000 ,  CHARLEVILLE MEZIERES",4.718772,49.774187
"Crédit Mutuel","Coopérative","2 PLACE DE NEVERS ,  08102 ,  CHARLEVILLE MEZIERES",4.718621,49.774096
"Crédit Mutuel","Coopérative","14 AVENUE D ARCHES ,  08000 ,  CHARLEVILLE MEZIERES",4.719399,49.762756
"Crédit Mutuel","Coopérative","2 RUE BAUDIN ,  08000 ,  CHARLEVILLE MEZIERES",4.729902,49.752439
"Crédit Mutuel","Coopérative","61 AVENUE NATIONALE ,  51100 ,  REIMS",4.005072,49.289344
"Crédit Mutuel","Coopérative","146 AVENUE JEAN JAURES ,  51100 ,  REIMS",4.049396,49.260916
"Crédit Mutuel","Coopérative","23 GRAND PLACE ,  62147 ,  HERMIES",3.036321,50.111447
"Crédit Mutuel","Coopérative","123 AVENUE DE VALENCIENNES ,  59400 ,  CAMBRAI",3.248678,50.181642
"Crédit Mutuel","Coopérative","20 PLACE HENRI IV ,  60300 ,  SENLIS",2.583011,49.205546
"Crédit Mutuel","Coopérative","12 PLACE DE LA LIBERTE ,  95470 ,  FOSSES",2.524922,49.100237
"Crédit Mutuel","Coopérative","24 RUE GAMBETTA ,  60100 ,  CREIL",2.474022,49.263396
"Crédit Mutuel","Coopérative","93 RUE DU GENERAL DE GAULLE ,  60180 ,  NOGENT SUR OISE",2.468269,49.27471
"Crédit Mutuel","Coopérative","142 RUE DU CONNETABLE ,  60500 ,  CHANTILLY",2.466467,49.194222
"Crédit Mutuel","Coopérative","7 PLACE DE LA ROCHEFOUCAULD ,  60140 ,  LIANCOURT",2.464612,49.329643
"Crédit Mutuel","Coopérative","16 RUE DU PRESIDENT WILSON ,  03200 ,  VICHY",3.42125,46.1246
"Crédit Mutuel","Coopérative","42 PLACE VICTOR HUGO ,  03300 ,  CUSSET",3.456347,46.132546
"Crédit Mutuel","Coopérative","53 BOULEVARD LEDRU ROLLIN ,  03500 ,  ST POURCAIN SUR SIOULE",3.290075,46.308895
"Crédit Mutuel","Coopérative","27 AVENUE DU GENERAL DE GAULLE ,  63300 ,  THIERS",3.514757,45.842634
"Crédit Mutuel","Coopérative","1 PLACE MALOUET ,  63200 ,  RIOM",3.112681,45.893992
"Crédit Mutuel","Coopérative","100 AVENUE JEAN JAURES ,  63200 ,  MOZAC",3.07599,45.889846
"Crédit Mutuel","Coopérative","19 RUE DE L HOTEL DE VILLE ,  63430 ,  PONT DU CHATEAU",3.248375,45.798907
"Crédit Mutuel","Coopérative","3 AVENUE DU 8 MAI ,  63118 ,  CEBAZAT",3.102654,45.830433
"Crédit Mutuel","Coopérative","PLACE DU TREVE ,  42430 ,  ST JUST EN CHEVALET",3.846549,45.914591
"Crédit Mutuel","Coopérative","3 PLACE DE LA FONTAINE ,  63100 ,  CLERMONT FERRAND",3.113393,45.790874
"Crédit Mutuel","Coopérative","4 RUE CLAUDE PEURIERE ,  42440 ,  NOIRETABLE",3.765929,45.816722
"Crédit Mutuel","Coopérative","26 PLACE DELILLE ,  63000 ,  CLERMONT FERRAND",3.091634,45.780799
"Crédit Mutuel","Coopérative","2 PLACE JOSEPH GARDET ,  63800 ,  COURNON D AUVERGNE",3.197321,45.739827
"Crédit Mutuel","Coopérative","59 B BOULEVARD LAFAYETTE ,  63000 ,  CLERMONT FERRAND",3.094759,45.773274
"Crédit Mutuel","Coopérative","81 RUE FONTGIEVE ,  63004 ,  CLERMONT FERRAND",3.076265,45.78074
"Crédit Mutuel","Coopérative","10 RUE DES SALLES ,  63000 ,  CLERMONT FERRAND",3.080177,45.775703
"Crédit Mutuel","Coopérative","61 B RUE BLATIN ,  63000 ,  CLERMONT FERRAND",3.076716,45.776488
"Crédit Mutuel","Coopérative","61 RUE BLATIN ,  63000 ,  CLERMONT FERRAND",3.076548,45.776543
"Crédit Mutuel","Coopérative","18 PLACE DU 14 JUILLET ,  03600 ,  COMMENTRY",2.742062,46.289179
"Crédit Mutuel","Coopérative","9 BOULEVARD DE COURTAIS ,  03100 ,  MONTLUCON",2.601623,46.340222
"Crédit Mutuel","Coopérative","59 AVENUE ALBERT THOMAS ,  03100 ,  MONTLUCON",2.589614,46.353301
"Crédit Mutuel","Coopérative","30 RUE NATIONALE ,  18200 ,  ST AMAND MONTROND",2.505389,46.723177
"Crédit Mutuel","Coopérative","27 RUE GAMBETTA ,  03000 ,  MOULINS",3.332671,46.563452
"Crédit Mutuel","Coopérative","26 PLACE JULES FERRY ,  03400 ,  YZEURE",3.353989,46.566176
"Crédit Mutuel","Coopérative","30 B AVENUE DE ROYAT ,  63400 ,  CHAMALIERES",3.067143,45.775792
"Crédit Mutuel","Coopérative","32 AVENUE DU GENERAL DE GAULLE ,  71160 ,  DIGOIN",3.983206,46.481661
"Crédit Mutuel","Coopérative","315 AVENUE CHARLES DE GAULLE ,  42153 ,  RIORGES",4.064546,46.053421
"Crédit Mutuel","Coopérative","23 PLACE VICTOR HUGO ,  42300 ,  ROANNE",4.057177,46.038708
"Crédit Mutuel","Coopérative","2 PLACE DE L HOTEL DE VILLE ,  42300 ,  ROANNE",4.073793,46.03455
"Crédit Mutuel","Coopérative","42 AVENUE DE LA LIBERATION ,  42120 ,  LE COTEAU",4.083564,46.029788
"Crédit Mutuel","Coopérative","31 PLACE BONNYAUD ,  23000 ,  GUERET",1.870603,46.168933
"Crédit Mutuel","Coopérative","25 RUE ZIZIM ,  23400 ,  BOURGANEUF",1.755934,45.953552
"Crédit Mutuel","Coopérative","10 RUE COLBERT ,  08300 ,  RETHEL",4.364961,49.507592
